workflow_name,workflow_id,active,finding_ref,severity,finding,node,tool_fix_class,disposition,disposition_note
1MLT Speaker Quiz - Contact + Email,NorcPNC4T3dCYjhF,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Quiz Webhook""",Quiz Webhook,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
1MLT Speaker Quiz - Contact + Email,NorcPNC4T3dCYjhF,True,ERR-001,Medium,"No error handling in workflow ""1MLT Speaker Quiz - Contact + Email""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
1MLT Speaker Quiz - Contact + Email,ggfDH6BuPM88AoQj,False,CRED-003,Critical,Hardcoded jwt_token detected,Mark Email Sent in Supabase,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,ggfDH6BuPM88AoQj,False,CRED-001,High,Hardcoded bearer_token detected,Create GHL Contact,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,ggfDH6BuPM88AoQj,False,CRED-002,High,Hardcoded bearer_token detected,Send GHL Email,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,ggfDH6BuPM88AoQj,False,CRED-004,High,Hardcoded bearer_token detected,Mark Email Sent in Supabase,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,ggfDH6BuPM88AoQj,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""Quiz Webhook""",Quiz Webhook,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
1MLT Speaker Quiz - Contact + Email,ggfDH6BuPM88AoQj,False,ERR-001,Medium,"No error handling in workflow ""1MLT Speaker Quiz - Contact + Email""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
1MLT Speaker Quiz - Contact + Email,w0ggoGsVrEr8jiNa,False,CRED-003,Critical,Hardcoded jwt_token detected,Mark Email Sent in Supabase,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,w0ggoGsVrEr8jiNa,False,CRED-001,High,Hardcoded bearer_token detected,Create GHL Contact,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,w0ggoGsVrEr8jiNa,False,CRED-002,High,Hardcoded bearer_token detected,Send GHL Email,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,w0ggoGsVrEr8jiNa,False,CRED-004,High,Hardcoded bearer_token detected,Mark Email Sent in Supabase,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,w0ggoGsVrEr8jiNa,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""Quiz Webhook""",Quiz Webhook,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
1MLT Speaker Quiz - Contact + Email,w0ggoGsVrEr8jiNa,False,ERR-001,Medium,"No error handling in workflow ""1MLT Speaker Quiz - Contact + Email""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
All In One Sales Page Assets,szAK4uQ34hNhPDHP,True,CRED-003,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
All In One Sales Page Assets,szAK4uQ34hNhPDHP,True,CRED-001,High,Hardcoded bearer_token detected,Image Generation (OpenAI Image 1),Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
All In One Sales Page Assets,szAK4uQ34hNhPDHP,True,WEBHOOK-001,High,"Unauthenticated webhook: ""GHL Trigger""",GHL Trigger,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
All In One Sales Page Assets,szAK4uQ34hNhPDHP,True,CRED-002,Medium,Hardcoded phone detected,ImgBB Upload,Review,NEW-UNIT-RECOMMENDED,"NEW-U119 (instance-wide hardcoded-PII review, email/phone class)"
All In One Sales Page Assets,szAK4uQ34hNhPDHP,True,ERR-001,Medium,"No error handling in workflow ""All In One Sales Page Assets""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
All In One Sales Page Assets PiAPI,PZjOMYDhAMWDHfIB,True,CRED-001,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
All In One Sales Page Assets PiAPI,PZjOMYDhAMWDHfIB,True,CRED-002,High,Hardcoded bearer_token detected,Image Generation (OpenAI Image 1),Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
All In One Sales Page Assets PiAPI,PZjOMYDhAMWDHfIB,True,WEBHOOK-001,High,"Unauthenticated webhook: ""GHL Trigger2""",GHL Trigger2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
All In One Sales Page Assets PiAPI,PZjOMYDhAMWDHfIB,True,CRED-003,Medium,Hardcoded phone detected,ImgBB Upload2,Review,NEW-UNIT-RECOMMENDED,"NEW-U119 (instance-wide hardcoded-PII review, email/phone class)"
Branch 00 - Sales Page Assets Image/Claude Branch,NcgzLyL38rHsNSbG,False,CRED-003,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Branch 00 - Sales Page Assets Image/Claude Branch,NcgzLyL38rHsNSbG,False,CRED-001,High,Hardcoded bearer_token detected,Image Generation (OpenAI Image 1),Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Branch 00 - Sales Page Assets Image/Claude Branch,NcgzLyL38rHsNSbG,False,CRED-002,Medium,Hardcoded phone detected,ImgBB Upload,Review,NEW-UNIT-RECOMMENDED,"NEW-U119 (instance-wide hardcoded-PII review, email/phone class)"
Branch 00 - Sales Page Assets Image/Claude Branch,NcgzLyL38rHsNSbG,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""GHL Trigger""",GHL Trigger,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Branch 00 - Sales Page Assets Image/Claude Branch,NcgzLyL38rHsNSbG,False,ERR-001,Medium,"No error handling in workflow ""Branch 00 - Sales Page Assets Image/Claude Branch""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-001,Critical,Hardcoded jwt_token detected,LocationID from Email,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-004,Critical,Hardcoded jwt_token detected,All Location IDs,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-006,Critical,Hardcoded jwt_token detected,HTTP Request,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-002,High,Hardcoded bearer_token detected,LocationID from Email,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-005,High,Hardcoded bearer_token detected,All Location IDs,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-007,High,Hardcoded bearer_token detected,HTTP Request,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-008,High,Hardcoded bearer_token detected,HTTP Request1,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-009,High,Hardcoded bearer_token detected,HTTP Request2,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-003,Medium,Hardcoded email detected,LocationID from Email,Review,NEW-UNIT-RECOMMENDED,"NEW-U119 (instance-wide hardcoded-PII review, email/phone class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,CRED-010,Medium,Hardcoded email detected,HighLevel1,Review,NEW-UNIT-RECOMMENDED,"NEW-U119 (instance-wide hardcoded-PII review, email/phone class)"
GHL API Test,m7ccEmtzi4vhoZlb,False,ERR-001,Medium,"No error handling in workflow ""GHL API Test""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
Image Branch 1A Sales Page Assets PiAPI,PfjXx6Cy1v5DQVLf,False,CRED-001,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Image Branch 1A Sales Page Assets PiAPI,PfjXx6Cy1v5DQVLf,False,CRED-002,High,Hardcoded bearer_token detected,Image Generation (OpenAI Image 1),Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Image Branch 1A Sales Page Assets PiAPI,PfjXx6Cy1v5DQVLf,False,CRED-003,Medium,Hardcoded phone detected,ImgBB Upload2,Review,NEW-UNIT-RECOMMENDED,"NEW-U119 (instance-wide hardcoded-PII review, email/phone class)"
Image Branch 1A Sales Page Assets PiAPI,PfjXx6Cy1v5DQVLf,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""GHL Trigger2""",GHL Trigger2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Image Branch 1A Sales Page Assets PiAPI UPD,hwSmVpxGXrbC71hw,True,CRED-001,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Image Branch 1A Sales Page Assets PiAPI UPD,hwSmVpxGXrbC71hw,True,WEBHOOK-001,High,"Unauthenticated webhook: ""GHL Trigger2""",GHL Trigger2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Image Branch 1A Sales Page Assets PiAPI UPD copy,wbKGfGHcizepLj1A,False,CRED-001,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Image Branch 1A Sales Page Assets PiAPI UPD copy,wbKGfGHcizepLj1A,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""GHL Trigger2""",GHL Trigger2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Image Branch 1A Sales Page Assets PiAPI UPD copy,wbKGfGHcizepLj1A,False,ERR-001,Medium,"No error handling in workflow ""Image Branch 1A Sales Page Assets PiAPI UPD copy""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
Image Branch 1A Sales Page Assets PiAPI UPD copy 2,Egqu5u0QkN9kxPMO,False,CRED-001,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Image Branch 1A Sales Page Assets PiAPI UPD copy 2,Egqu5u0QkN9kxPMO,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""GHL Trigger2""",GHL Trigger2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Image Branch 1A Sales Page Assets PiAPI UPD copy 2,Egqu5u0QkN9kxPMO,False,ERR-001,Medium,"No error handling in workflow ""Image Branch 1A Sales Page Assets PiAPI UPD copy 2""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
Image Branch 1A Sales Page Assets PiAPI UPD copy 3,t7hF656a7uhVXPI7,False,CRED-001,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Image Branch 1A Sales Page Assets PiAPI UPD copy 3,t7hF656a7uhVXPI7,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""GHL Trigger2""",GHL Trigger2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Image Branch 1A Sales Page Assets PiAPI UPD copy 4,H3az5X572iB3p0bK,False,CRED-001,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Image Branch 1A Sales Page Assets PiAPI UPD copy 4,H3az5X572iB3p0bK,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""GHL Trigger2""",GHL Trigger2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Image Branch 1A Sales Page Assets PiAPI UPD NEW Docs,88rfHnmP8N91gqs0,False,CRED-001,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Image Branch 1A Sales Page Assets PiAPI UPD NEW Docs,88rfHnmP8N91gqs0,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""GHL Trigger2""",GHL Trigger2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Image Branch 1A Sales Page Assets PiAPI UPD No Clean,4murSds8XQMSw1SO,False,CRED-001,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Image Branch 1A Sales Page Assets PiAPI UPD No Clean,4murSds8XQMSw1SO,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""GHL Trigger2""",GHL Trigger2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
LinkedIn Custom Scraper,QZDtI0OrH6oG07mz,True,CRED-001,Critical,Hardcoded google_api_key detected,Search Google,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
LinkedIn Custom Scraper,QZDtI0OrH6oG07mz,True,WEBHOOK-001,High,"Unauthenticated webhook: ""On form submission""",On form submission,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
LinkedIn Custom Scraper,QZDtI0OrH6oG07mz,True,ERR-001,Medium,"No error handling in workflow ""LinkedIn Custom Scraper""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
OLD Sales Page Assets BR PiAPI,HYkB18Hhv6hvDWYq,False,CRED-002,Critical,Hardcoded anthropic_key detected,Claude Copy,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
OLD Sales Page Assets BR PiAPI,HYkB18Hhv6hvDWYq,False,CRED-001,Medium,Hardcoded email detected,Gmail,Review,NEW-UNIT-RECOMMENDED,"NEW-U119 (instance-wide hardcoded-PII review, email/phone class)"
OLD Sales Page Assets BR PiAPI,HYkB18Hhv6hvDWYq,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""GHL Trigger""",GHL Trigger,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Quiz Landing Page - GitHub Pages + GHL Custom Values,zcoeE62zRQSzsWij,True,CRED-001,Critical,Hardcoded url_with_auth detected,copy Set Node 1 (4-Image Path),Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Quiz Landing Page - GitHub Pages + GHL Custom Values,zcoeE62zRQSzsWij,True,CRED-002,Critical,Hardcoded url_with_auth detected,copy Set Node 2 (6-Image Path),Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Quiz Landing Page - GitHub Pages + GHL Custom Values,zcoeE62zRQSzsWij,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Webhook""",Webhook,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Quiz Landing Page - GitHub Pages + GHL Custom Values,zcoeE62zRQSzsWij,True,ERR-001,Medium,"No error handling in workflow ""Quiz Landing Page - GitHub Pages + GHL Custom Values""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
Quiz Landing Page Generator v2,dFQzKX41ZHM20tpO,True,CRED-001,Critical,Hardcoded url_with_auth detected,Set Node 2 (6-Image Path),Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Quiz Landing Page Generator v2,dFQzKX41ZHM20tpO,True,CRED-002,Critical,Hardcoded url_with_auth detected,Set Node 1 (4-Image Path),Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
Quiz Landing Page Generator v2,dFQzKX41ZHM20tpO,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Webhook""",Webhook,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Quiz Landing Page Generator v2,dFQzKX41ZHM20tpO,True,ERR-001,Medium,"No error handling in workflow ""Quiz Landing Page Generator v2""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
TREVORS LinkedIn EMAIL scraper,zb0KliQmcSkxg7tF,True,CRED-001,Critical,Hardcoded google_api_key detected,Search Google,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
TREVORS LinkedIn EMAIL scraper,zb0KliQmcSkxg7tF,True,ERR-001,Medium,"No error handling in workflow ""TREVORS LinkedIn EMAIL scraper""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
🎯 Trevor Speaks Bot - Welcome + Alerts,AjKob0e5T8aEn09o,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Telegram Events""",Telegram Events,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
🎯 Trevor Speaks Bot - Welcome + Alerts,AjKob0e5T8aEn09o,True,ERR-001,Medium,"No error handling in workflow ""🎯 Trevor Speaks Bot - Welcome + Alerts""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
🔐 n8n Self-Backup -> Google Drive (nightly),EmtrZVxg0Ok59x77,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Backup Ready (from host script)""",Backup Ready (from host script),Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
🔐 n8n Self-Backup -> Google Drive (nightly),EmtrZVxg0Ok59x77,True,RETENTION-001,Low,"Excessive data retention in workflow ""🔐 n8n Self-Backup -> Google Drive (nightly)""",—,User action,NEW-UNIT-RECOMMENDED,NEW-U122 (instance-wide execution-data-retention configuration)
01-Social media in a box main orchestrator,S8rFFVv6OE5fKhPo,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Webhook Trigger""",Webhook Trigger,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
4x3x3 w Book Writer,KF6PCxzSzKWeOwN6,True,CRED-001,High,Hardcoded bearer_token detected,Image Generation (OpenAI Image 1),Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
4x3x3 w Book Writer,KF6PCxzSzKWeOwN6,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Webhook""",Webhook,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Abundance Broadcast System,GrzxRlJzhBfQ9mR5,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Lovable Webhook""",Lovable Webhook,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Abundance Broadcast System,GrzxRlJzhBfQ9mR5,True,ERR-001,Medium,"No error handling in workflow ""Abundance Broadcast System""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
"Anthology Drive Broker (51-node, staged - GK-02)",S8E6c41WfB8fAGiL,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Webhook anthology-drive""",Webhook anthology-drive,Auto-fix,NEW-UNIT-RECOMMENDED (cross-ref existing unit),"Workflow also in scope of U64/GK-02 (new 51-node broker, live); this specific security finding is additive (not covered by that unit's own acceptance criteria) -> NEW-U120 (instance-wide unauthenticated-webhook remediation)"
"Anthology Drive Broker (51-node, staged - GK-02)",S8E6c41WfB8fAGiL,True,ERR-001,Medium,"No error handling in workflow ""Anthology Drive Broker (51-node, staged - GK-02)""",—,Review,NEW-UNIT-RECOMMENDED (cross-ref existing unit),"Workflow also in scope of U64/GK-02 (new 51-node broker, live); this specific security finding is additive (not covered by that unit's own acceptance criteria) -> NEW-U121 (instance-wide error-handling coverage)"
Anthology Writer - [CLIENT],62EeUqT5Da63U4Kh,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Webhook""",Webhook,Auto-fix,NEW-UNIT-RECOMMENDED (cross-ref existing unit),"Workflow also in scope of U73/GK-11 (Anthology Writer - [CLIENT] monolith, pending); this specific security finding is additive (not covered by that unit's own acceptance criteria) -> NEW-U120 (instance-wide unauthenticated-webhook remediation)"
Anthology Writer - [CLIENT],62EeUqT5Da63U4Kh,True,ERR-001,Medium,"No error handling in workflow ""Anthology Writer - [CLIENT]""",—,Review,NEW-UNIT-RECOMMENDED (cross-ref existing unit),"Workflow also in scope of U73/GK-11 (Anthology Writer - [CLIENT] monolith, pending); this specific security finding is additive (not covered by that unit's own acceptance criteria) -> NEW-U121 (instance-wide error-handling coverage)"
Avatar Alchemist Brand Intelligence,lEDCuz11DZMfzWyT,True,WEBHOOK-001,High,"Unauthenticated webhook: ""Webhook2""",Webhook2,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Avatar Alchemist Brand Intelligence,lEDCuz11DZMfzWyT,True,ERR-001,Medium,"No error handling in workflow ""Avatar Alchemist Brand Intelligence""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
Avatar Quiz - Segments 1 and 2 Complete,qdJGtJkqZEntz6Fx,True,WEBHOOK-001,High,"Unauthenticated webhook: ""N8N Form Trigger""",N8N Form Trigger,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Avatar Quiz - Segments 1 and 2 Complete,qdJGtJkqZEntz6Fx,True,WEBHOOK-002,High,"Unauthenticated webhook: ""Webhook - GHL Convert and Flow""",Webhook - GHL Convert and Flow,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Avatar Quiz - Segments 1 and 2 Complete,qdJGtJkqZEntz6Fx,True,WEBHOOK-003,High,"Unauthenticated webhook: ""Webhook - Loveable""",Webhook - Loveable,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
Avatar Quiz - Segments 1 and 2 Complete,qdJGtJkqZEntz6Fx,True,CRED-001,Medium,Hardcoded email detected,N8N Form Trigger,Review,NEW-UNIT-RECOMMENDED,"NEW-U119 (instance-wide hardcoded-PII review, email/phone class)"
Avatar Quiz - Segments 1 and 2 Complete,qdJGtJkqZEntz6Fx,True,ERR-001,Medium,"No error handling in workflow ""Avatar Quiz - Segments 1 and 2 Complete""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
